id,owner,name,year,odokm,price,color,post_code,registration,price_guide,price_change,last_price_date,last_price_value,last_modified,date,url
2017-OAG-AD-20775350,dealer,2017 Toyota Corolla Hybrid Auto,2017,52937,29888,Blue Gem,4157,4 Months - October 2022,25030(23600.24950)-29888(26300.27700),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2017-toyota-corolla-hybrid-auto/OAG-AD-20775350/
2020-OAG-AD-20737735,dealer,2020 Toyota Corolla ZR Auto,2020,15339,39345,White,4106,May 2022,35040(.)-39345(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2020-toyota-corolla-zr-auto/OAG-AD-20737735/
2018-OAG-AD-20842653,dealer,2018 Toyota Corolla Ascent Sport Hybrid Auto,2018,17013,33390,Volcanic Red,4170,None,30035(.)-33390(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2018-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-20842653/
2018-OAG-AD-20825656,dealer,2018 Toyota Corolla Ascent Sport Hybrid Auto,2018,16499,31690,Volcanic Red,4170,None,30035(.)-31690(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2018-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-20825656/
2016-OAG-AD-20849305,dealer,2016 Toyota Corolla Ascent Auto,2016,71842,20990,Glacier White,4170,None,20025(.)-20990(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2016-toyota-corolla-ascent-auto/OAG-AD-20849305/
2019-OAG-AD-20732114,dealer,2019 Toyota Corolla Ascent Sport Hybrid Auto,2019,10297,35250,Glacier White,4106,April 2022,35040(.)-35250(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2019-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-20732114/
2016-OAG-AD-20813155,dealer,2016 Toyota Corolla Ascent Auto,2016,60507,23990,Ink,4506,6 Months - December 2022,20025(16600.17750)-23990(18800.20050),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2016-toyota-corolla-ascent-auto/OAG-AD-20813155/
2018-OAG-AD-20801095,dealer,2018 Toyota Corolla Ascent Auto,2018,98206,20490,Glacier White,4170,None,20025(.)-20490(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2018-toyota-corolla-ascent-auto/OAG-AD-20801095/
2016-OAG-AD-20712605,dealer,2016 Toyota Corolla Ascent Sport Auto,2016,18659,26990,Silver Pearl,4506,5 Months - November 2022,25030(17600.18800)-26990(19900.21150),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2016-toyota-corolla-ascent-sport-auto/OAG-AD-20712605/
2017-OAG-AD-20730728,dealer,2017 Toyota Corolla Ascent Auto,2017,40545,22290,Glacier White,4170,None,20025(.)-22290(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2017-toyota-corolla-ascent-auto/OAG-AD-20730728/
2018-OAG-AD-20834383,dealer,2018 Toyota Corolla Ascent Auto,2018,8380,25590,Silver Pearl,4170,None,25030(.)-25590(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2018-toyota-corolla-ascent-auto/OAG-AD-20834383/
2017-OAG-AD-20756174,dealer,2017 Toyota Corolla ZR Auto,2017,79508,26490,Ink,4009,None,25030(23900.25250)-26490(26700.28050),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2017-toyota-corolla-zr-auto/OAG-AD-20756174/
