,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,name,year,odokm,price,grade,drive,owner,url,date
62,62.0,62.0,62.0,62.0,12.0,,2019-AWD-SSE-AD-12537255,2019 Toyota Kluger Grande Auto AWD,2019,15000,61999,3,AWD,private,https://www.carsales.com.au/cars/details/2019-toyota-kluger-grande-auto-awd/SSE-AD-12537255/,2022-06-19 00:00:00
63,63.0,63.0,63.0,63.0,13.0,,2013-AWD-SSE-AD-12854581,2013 Toyota Kluger KX-R Auto AWD,2013,99000,26000,1,AWD,private,https://www.carsales.com.au/cars/details/2013-toyota-kluger-kx-r-auto-awd/SSE-AD-12854581/,2022-06-19 00:00:00
64,64.0,64.0,64.0,64.0,0.0,,2017-2WD-SSE-AD-12934227,2017 Toyota Kluger GX Auto 2WD,2017,111000,33500,1,2WD,private,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/SSE-AD-12934227/,2022-06-19 00:00:00
65,65.0,65.0,65.0,65.0,1.0,,2015-AWD-SSE-AD-12985739,2015 Toyota Kluger Grande Auto AWD,2015,112549,41500,3,AWD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-grande-auto-awd/SSE-AD-12985739/,2022-06-19 00:00:00
66,66.0,66.0,66.0,66.0,2.0,,2013-AWD-SSE-AD-7279042,2013 Toyota Kluger Grande Auto AWD,2013,98630,31000,3,AWD,private,https://www.carsales.com.au/cars/details/2013-toyota-kluger-grande-auto-awd/SSE-AD-7279042/,2022-06-19 00:00:00
67,67.0,67.0,67.0,67.0,3.0,,2019-AWD-SSE-AD-12617076,2019 Toyota Kluger GXL Auto AWD,2019,19649,58650,2,AWD,private,https://www.carsales.com.au/cars/details/2019-toyota-kluger-gxl-auto-awd/SSE-AD-12617076/,2022-06-19 00:00:00
68,68.0,68.0,68.0,68.0,4.0,,2014-2WD-SSE-AD-12059000,2014 Toyota Kluger Grande Auto 2WD,2014,71243,39500,3,2WD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-2wd/SSE-AD-12059000/,2022-06-19 00:00:00
69,69.0,69.0,69.0,69.0,5.0,,2014-AWD-SSE-AD-12966518,2014 Toyota Kluger GX Auto AWD,2014,144226,29990,1,AWD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-awd/SSE-AD-12966518/,2022-06-19 00:00:00
70,70.0,70.0,70.0,70.0,6.0,,2017-2WD-SSE-AD-12624836,2017 Toyota Kluger GX Auto 2WD,2017,67000,35990,1,2WD,private,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/SSE-AD-12624836/,2022-06-19 00:00:00
71,71.0,71.0,71.0,71.0,7.0,,2017-2WD-SSE-AD-12456464,2017 Toyota Kluger GX Auto 2WD,2017,113000,34500,1,2WD,private,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/SSE-AD-12456464/,2022-06-19 00:00:00
72,72.0,72.0,72.0,72.0,8.0,,2016-2WD-SSE-AD-12177637,2016 Toyota Kluger GXL Auto 2WD,2016,89000,38000,2,2WD,private,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gxl-auto-2wd/SSE-AD-12177637/,2022-06-19 00:00:00
73,73.0,73.0,73.0,73.0,9.0,,2015-2WD-SSE-AD-12940922,2015 Toyota Kluger GX Auto 2WD,2015,146743,28500,1,2WD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/SSE-AD-12940922/,2022-06-19 00:00:00
74,74.0,74.0,74.0,74.0,10.0,,2018-AWD-SSE-AD-12848247,2018 Toyota Kluger GXL Auto AWD,2018,37000,54000,2,AWD,private,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-awd/SSE-AD-12848247/,2022-06-19 00:00:00
